01/01/2019,20:17,MANHATTAN,10017,0,0,Driver Inattention/Distraction
01/01/2019,3:50,BRONX,10452,0,0,Fatigued/Drowsy
01/01/2019,12:30,QUEENS,11368,0,0,Unspecified
01/01/2019,18:50,BRONX,10464,0,0,Alcohol Involvement
01/01/2019,19:30,,,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
01/01/2019,11:30,,,1,0,Unsafe Lane Changing
01/01/2019,10:23,QUEENS,11369,1,0,Failure to Keep Right
01/01/2019,4:04,,,1,0,Fell Asleep
01/01/2019,18:09,MANHATTAN,10031,0,0,Backing Unsafely
01/01/2019,20:17,MANHATTAN,10017,0,0,Driver Inattention/Distraction
01/01/2019,3:50,BRONX,10452,0,0,Fatigued/Drowsy
01/01/2019,12:30,QUEENS,11368,0,0,Unspecified
01/01/2019,18:50,BRONX,10464,0,0,Alcohol Involvement
01/01/2019,19:30,,,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
01/01/2019,11:30,,,1,0,Unsafe Lane Changing
01/01/2019,10:23,QUEENS,11369,1,0,Failure to Keep Right
01/01/2019,4:04,,,1,0,Fell Asleep
01/01/2019,18:09,MANHATTAN,10031,0,0,Backing Unsafely
