date,time,borough,zip,injured,killed,cause
01/01/2019,1:47,BROOKLYN,11207,1,0,Other Vehicular
01/01/2019,1:15,BROOKLYN,11237,0,0,Passing or Lane Usage Improper
01/01/2019,21:54,BROOKLYN,11223,0,0,Unspecified
01/01/2019,2:35,BROOKLYN,11206,0,0,Failure to Yield Right-of-Way
01/01/2019,15:00,,,0,0,Turning Improperly
01/01/2019,19:03,MANHATTAN,10018,0,0,Other Vehicular
01/01/2019,0:00,,,0,0,Unspecified
01/01/2019,4:12,MANHATTAN,10001,0,0,Following Too Closely
01/01/2019,17:00,,,0,0,Unspecified
01/01/2019,23:55,,,1,0,Illnes
01/01/2019,16:25,QUEENS,11370,0,0,Driver Inattention/Distraction
01/01/2019,0:45,,,0,0,Unsafe Speed
01/01/2019,19:00,QUEENS,11368,0,0,Driver Inattention/Distraction
01/01/2019,0:20,QUEENS,11377,0,0,Following Too Closely
01/01/2019,19:43,BROOKLYN,11212,0,0,Driver Inattention/Distraction
01/01/2019,20:40,MANHATTAN,10019,0,0,Passing Too Closely
01/01/2019,4:40,,,0,0,Driver Inattention/Distraction
01/01/2019,4:48,MANHATTAN,10034,0,0,Backing Unsafely
01/01/2019,0:05,BROOKLYN,11207,0,0,Pavement Slippery
01/01/2019,18:00,,,1,0,Following Too Closely
01/01/2019,2:18,,,1,0,Unspecified
01/01/2019,9:10,BROOKLYN,11219,1,0,Unspecified
01/01/2019,4:50,BROOKLYN,11218,0,0,Alcohol Involvement
01/01/2019,0:00,,,0,0,Aggressive Driving/Road Rage
01/01/2019,6:32,,,0,0,Unspecified
01/01/2019,6:40,,,0,0,Driver Inattention/Distraction
01/01/2019,5:35,BROOKLYN,11237,1,0,Reaction to Uninvolved Vehicle
01/01/2019,1:05,BROOKLYN,11207,1,0,Unspecified
01/01/2019,14:40,QUEENS,11355,0,0,Failure to Yield Right-of-Way
01/01/2019,8:00,BRONX,10473,0,0,Steering Failure
01/01/2019,13:40,STATEN ISLAND,10306,1,0,Failure to Yield Right-of-Way
01/01/2019,15:10,BROOKLYN,11219,1,0,Failure to Yield Right-of-Way
01/01/2019,16:00,BROOKLYN,11207,0,0,Illnes
01/01/2019,22:33,BROOKLYN,11205,4,0,Unspecified
01/01/2019,0:10,,,0,0,Pavement Slippery
01/01/2019,20:17,MANHATTAN,10017,0,0,Driver Inattention/Distraction
01/01/2019,3:50,BRONX,10452,0,0,Fatigued/Drowsy
01/01/2019,12:30,QUEENS,11368,0,0,Unspecified
01/01/2019,18:50,BRONX,10464,0,0,Alcohol Involvement
01/01/2019,19:30,,,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
01/01/2019,11:30,,,1,0,Unsafe Lane Changing
01/01/2019,10:23,QUEENS,11369,1,0,Failure to Keep Right
01/01/2019,4:04,,,1,0,Fell Asleep
01/01/2019,18:09,MANHATTAN,10031,0,0,Backing Unsafely
01/01/2019,2:25,BROOKLYN,11237,3,0,Failure to Yield Right-of-Way
01/01/2019,17:11,QUEENS,11354,0,0,Failure to Yield Right-of-Way
01/01/2019,1:43,BROOKLYN,11203,3,0,Driver Inattention/Distraction
01/01/2019,9:05,BROOKLYN,11230,0,0,Unspecified
01/01/2019,4:40,,,6,0,Traffic Control Disregarded
01/01/2019,4:20,QUEENS,11432,0,0,Driver Inattention/Distraction
01/01/2019,14:30,,,0,0,Unsafe Lane Changing
01/01/2019,5:25,,,0,0,Unsafe Lane Changing
01/01/2019,1:30,,,0,0,Following Too Closely
01/01/2019,6:00,,,0,0,Unspecified
01/01/2019,6:25,BRONX,10458,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
01/01/2019,21:40,,,0,0,Backing Unsafely
01/01/2019,7:11,,,1,0,Pavement Slippery
01/01/2019,2:04,,,1,0,Driver Inattention/Distraction
01/01/2019,8:25,,,0,0,Unsafe Speed
01/01/2019,4:53,,,0,0,Driver Inattention/Distraction
01/01/2019,5:00,MANHATTAN,10153,0,0,Driver Inattention/Distraction
01/01/2019,0:00,,,0,0,Failure to Yield Right-of-Way
01/01/2019,1:25,,,1,0,Traffic Control Disregarded
01/01/2019,13:30,BROOKLYN,11214,0,0,Backing Unsafely
