date,time,borough,zip,injured,killed,cause
01/01/2019,14:00,,,0,0,Reaction to Uninvolved Vehicle
01/01/2019,18:41,,,0,0,Following Too Closely
01/01/2019,23:02,,,0,0,Unsafe Speed
01/01/2019,19:00,,,2,0,Failure to Yield Right-of-Way
01/01/2019,17:07,BROOKLYN,11219,0,0,Unspecified
01/01/2019,23:50,,,1,0,Unsafe Speed
01/01/2019,15:00,BROOKLYN,11208,0,0,Unspecified
01/01/2019,9:42,QUEENS,11355,0,0,Unspecified
01/01/2019,2:00,,,4,0,Reaction to Uninvolved Vehicle
01/01/2019,8:37,QUEENS,11373,0,0,Reaction to Uninvolved Vehicle
01/01/2019,14:20,,,0,0,Brakes Defective
01/01/2019,6:20,QUEENS,11413,0,0,Unspecified
01/01/2019,14:15,QUEENS,11413,0,0,Unspecified
01/01/2019,1:20,,,2,0,Other Vehicular
01/01/2019,21:30,,,3,0,Following Too Closely
01/01/2019,14:39,MANHATTAN,10037,0,0,Driver Inattention/Distraction
01/01/2019,19:30,BROOKLYN,11217,0,0,Passing Too Closely
01/01/2019,12:49,QUEENS,11419,0,0,Unspecified
01/01/2019,7:00,BRONX,10463,0,0,Unspecified
01/01/2019,17:50,QUEENS,11412,0,0,Backing Unsafely
01/01/2019,19:45,,,1,0,Driver Inattention/Distraction
01/01/2019,12:05,,,1,0,Driver Inattention/Distraction
01/01/2019,10:00,STATEN ISLAND,10306,0,0,Unspecified
01/01/2019,23:39,BROOKLYN,11203,0,0,Passenger Distraction
01/01/2019,15:54,,,0,0,Failure to Yield Right-of-Way
01/01/2019,20:30,,,0,0,Unspecified
01/01/2019,0:00,,,1,0,Unspecified
01/01/2019,5:11,STATEN ISLAND,10301,0,0,Unspecified
01/01/2019,3:00,BROOKLYN,11207,4,0,Failure to Yield Right-of-Way
01/01/2019,2:25,BROOKLYN,11208,2,0,View Obstructed/Limited
01/01/2019,3:49,,,0,0,Unspecified
01/01/2019,13:58,,,1,0,Following Too Closely
01/01/2019,3:28,QUEENS,11101,1,0,Tire Failure/Inadequate
01/01/2019,12:00,BRONX,10463,0,0,Driver Inattention/Distraction
